Pathway	SRR18584972	SRR18584974	SRR18584975	SRR18584976	SRR18584977	SRR18584978	SRR18584979	SRR18584980	SRR18584981	SRR18584982	SRR18584983	SRR18585056	SRR18585057	SRR18585058	SRR18585059	SRR18585061	SRR18585062	SRR18585063	SRR18585064	SRR18585065	SRR18585076	SRR18585077	SRR18585078	SRR18585079	SRR18585104	SRR18585105	SRR18585106	SRR18585107	SRR18585109	SRR18585110	SRR18585111	SRR18585112	SRR18585113	SRR18585114	SRR18585115	SRR18585128	SRR18585129	SRR18585131	SRR18585132	SRR18585133	SRR18585134	SRR18585135	SRR18585136	SRR18585137	SRR18585138	SRR18585139	SRR18585140	SRR18585142	SRR18585143	SRR18585144	SRR18585177	SRR18585178	SRR18585179	SRR18585180	SRR18585181	SRR18585182	SRR18585183	SRR18585184	SRR18585212	SRR18585213	SRR18585214	SRR18585215	SRR18585216	SRR18585218	SRR18585219	SRR18585220	SRR18585221	SRR18585222	SRR18585223	SRR18585254	SRR18585256	SRR18585257	SRR18585258	SRR18585259	SRR18585260	SRR18585261	SRR18585272	SRR18585273
CALVIN-PWY: Calvin-Benson-Bassham cycle	513.089	540.018	514.732	443.801	420.724	440.487	828.785	488.707	553.502	409.129	537.331	514.488	314.609	266.051	532.875	358.203	546.642	15.0301	750.441	676.508	402.323	433.281	585.871	319.112	541.599	513.859	582.055	806.412	332.069	402.786	589.357	52.5767	267.197	482.59	540.185	732.898	584.628	614.458	505.621	686.485	745.374	492.332	383.057	306.08	571.433	371.786	329.704	722.264	554.307	528.952	435.313	392.88	442.288	346.964	584.826	503.32	312.314	322.216	374.69	409.68	615.443	521.594	724.921	864.637	436.597	371.321	161.611	486.12	628.581	462.362	436.089	506.925	569.996	471.928	489.188	456.204	487.547	506.617
CARNMET-PWY: L-carnitine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.499855	27.3753	0	0	0	0	0	0	0	16.7638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.7242	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	59.5513	43.5819	48.0374	62.0264	0	0	31.2731	45.2229	6.43216	13.3556	29.5237	51.2693	0	1.67277	21.5138	23.4261	16.4282	0	93.2045	93.5089	0	0	56.8186	23.7596	36.7101	5.63051	18.7225	35.1066	2.60408	1.15173	8.08364	0	0	40.6945	84.316	50.0149	53.2511	25.9749	58.2404	50.8085	36.0774	0	10.952	13.3536	27.3339	26.1895	29.2271	31.9393	11.3792	98.4236	21.3307	33.3104	47.5475	20.9882	47.1886	28.1745	42.9929	11.5123	0	0	90.4829	57.2367	122.494	19.4228	0	1.96228	7.7109	0	0	6.53099	22.0911	27.915	24.2443	24.6945	29.2524	23.1733	48.2294	53.5828
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3052	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	104.977	119.207	82.1487	186.989	14.2397	9.39841	78.2998	6.02026	10.5611	235.206	4.85799	323.158	239.968	166.707	505.931	321.177	492.713	0	71.8557	261.601	62.7522	31.0945	54.6321	171.679	19.3533	50.1509	83.4426	0	265.614	228.867	9.80106	0	195.042	62.9742	52.7734	5.59809	35.8326	270.856	290.053	11.6028	25.7345	78.6817	244.236	0	21.1839	248.322	259.235	24.2025	0	157.911	230.255	12.9187	0	8.39361	20.5484	15.588	47.422	251.514	104.554	40.8715	66.3486	281.013	76.4245	224.935	332.316	286.747	272.145	270.473	45.6848	2.3957	5.48718	23.2074	12.1762	18.1467	19.0305	10.0918	181.618	99.3429
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	582.165	573.969	601.726	608.098	536.309	571.045	571.831	459.986	597.895	444.732	536.495	586.85	502.659	538.638	548.152	546.677	500.733	180.546	631.882	546.523	538.603	513.161	609.56	486.959	509.814	586.451	582.794	606.182	431.121	196.453	433.939	693.621	339.326	385.108	473.401	594.368	540.612	399.304	566.057	605.603	594.942	342.874	410.925	303.412	458.386	447.883	370.16	549.152	473.874	459.503	501.98	379.139	441.854	329.839	549.465	517.992	306.449	441.948	259.517	554.996	647.218	604.087	603.626	695.072	269.736	530.404	515.93	400.285	568.1	282.052	427.362	419.413	508.31	416.57	469.862	404.062	587.97	570.855
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	531.221	526.692	553.437	579.045	529.729	570.797	537.501	424.932	548.23	421.133	493.661	552.858	509.224	538.491	642.819	550.197	523.996	149.289	598.033	548.455	534.748	504.646	557.802	458.879	504.732	568.632	572.049	583.647	430.45	174.994	602.571	684.375	354.229	402.484	434.864	574.241	528.916	364.274	546.531	589.391	553.559	325.115	394.45	725.39	522.653	418.816	352.062	530.991	464.767	448.987	478.373	348.348	412.332	297.212	508.412	478.893	282.09	435.175	336.782	536.024	582.884	566.234	601.746	728.248	261.904	598.642	521.43	816.824	535.705	441.054	438.139	429.535	501.516	412.16	460.945	419.315	547.85	521.734
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	244.212	247.828	217.642	140.558	78.1288	89.7271	378.291	180.753	267.594	194.021	234.355	303.397	29.8759	25.515	101.301	75.4133	108.66	3.42922	341.531	280.988	73.0461	76.0246	313.138	234.67	181.582	97.4141	69.9428	464.003	59.1481	208.67	97.1345	0	56.9556	166.442	215.082	249.248	251.223	205.35	291.312	336.878	361.838	163.473	84.5563	42.9613	189.761	205.486	144.087	255.284	303.925	260.691	208.164	221.438	256.895	166.663	292.14	287.446	138.875	122.938	22.2667	38.7518	276.586	286.268	239.735	97.0783	128.562	44.3577	18.2848	288.838	220.791	30.4072	127.356	181.794	196.541	141.252	145.682	70.3901	216.661	214.481
COLANSYN-PWY: colanic acid building blocks biosynthesis	123.292	121.698	155.061	164.166	221.77	235.86	142.032	105.628	86.5996	118.277	91.0624	197.595	85.6734	50.7724	149.958	82.7502	303.619	0	153.221	175.63	170.641	203.367	134.554	186.418	125.354	218.819	183.501	193.356	150.002	37.3234	126.418	0	85.1078	97.7046	112.477	147.405	123.909	201.881	135.631	81.2295	185.755	119.827	150.09	58.9038	133.79	175.285	126.077	120.378	118.15	147.133	137.773	88.3942	90.9537	68.3342	145.933	84.8183	77.0644	145.016	126.588	148.35	129.898	195.52	130.276	76.9132	245.694	99.8125	108.515	168.085	163.624	46.0348	98.8815	120.277	94.3595	82.0567	96.7436	83.1739	160.967	118.42
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	626.793	655.904	659.736	598.72	584.093	673.11	698.016	477.75	602.629	479.923	544.628	649.858	406.243	373.583	548.457	428.317	526.245	1229.8	763.914	651.511	527.18	602.52	713.608	497.398	675.355	647.674	650.91	807.394	444.382	300.465	742.991	474.779	240.65	459.35	553.509	740.869	632.91	543.292	607.554	674.331	758.205	518.181	453.716	830.592	673.462	503.772	449.619	722.272	636.441	506.546	531.921	405.193	449.072	360.465	601.351	516.11	331.813	529.967	435.679	564.56	752.219	673.029	685.789	882.431	338.638	398.411	365.751	525.851	597.629	415.972	564.86	586.761	667.005	545.271	628.147	518.643	609.163	637.364
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698975	0	0	4.18919	0	0	1.03066	0	0	0	18.2524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	175.633	138.871	71.1741	103.999	361.246	307.961	102.572	263.391	449.459	192.824	299.15	128.289	67.3571	46.3498	104.54	46.4959	267.999	0	252.75	228.211	365.065	407.634	97.6092	15.9717	23.6633	421.319	479.272	106.858	46.4999	290.204	310.448	55.8686	21.2828	239.642	214.311	244.238	183.284	291.026	135.081	106.953	230.172	215.849	43.9052	343.331	263.902	36.8512	20.557	148.295	142.082	114.807	244.4	219.398	172.024	185.296	278.249	292.415	148.702	121.466	321.588	338.665	127.584	47.4027	268.206	459.854	249.506	28.8075	36.7931	78.2878	294.294	2.37021	51.1585	107.979	105.949	30.3846	13.2328	11.5227	119.243	148.79
DARABCATK12-PWY: D-arabinose degradation I	0.23379	0	0	0.821383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44224	0	0	0	48.4717	0	0	0	0	0	0	0	29.8625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.74608	0	0	0	0	29.8062	0	0	0	0	0	0	0	0	0	0	0	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	12.2852	4.1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9574	36.5541	0	0	0	37.2424	42.9706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	0	0	16.9725	28.865	0	0	0	0	0	0	0	0	0	0	283.22	0	0	0	0	85.3896	0	0	0	177.834	94.3205	0	8.86236	218.001	0	0	0	145.129	72.6621	0	0	122.468	0	0	0	0	44.5685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.2864	84.0486	0	0	0	0	165.293	0	0	0	0	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	608.074	618.356	646.776	775.877	485.797	383.518	746.914	491.945	572.648	619.602	559.917	618.702	627.16	637.818	658.814	613.147	502.348	1582.31	772.047	659.254	457.516	477.901	712.791	718.941	730.147	416.723	479.435	942.065	687.619	254.618	721.924	1425.75	618.323	470.948	445.766	746.242	623.012	424.533	1077.88	686.115	838.417	570.376	841.338	720.106	601.886	783.653	803.436	796.573	532.028	696.075	682.886	447.143	517.428	375.431	641.434	560.434	350.489	524.869	395.194	325.645	704.794	653.696	718.106	767.778	348.364	588.174	554.507	86.6796	660.283	1944.84	869.709	642.042	636.483	1024.83	911.614	1109.67	649.521	620.506
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84079	88.7278	0	0	0	52.9824	36.5947	0	0	32.7591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.2901	0	0	0	0	0	0	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0	0	5.23457	0	0	0	0	0	0	0	0	0	0	0	1.05069	0	0	0	0	0	0	0	0	0	0	0	0	4.88519	253.279	0	0	5.64232	79.9417	69.6454	0	0	185.983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.571	0	0	0	0	0	0	0	0	0	0	1.85201	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	82.9527	57.5428	35.2553	116.855	365.321	364.684	29.5734	95.141	106.38	78.7847	96.8668	205.299	408.535	398.196	497.28	415.18	522.216	0	56.419	167.313	322.97	416.16	14.4376	26.6122	3.63817	405.589	530.434	5.58037	208.54	275.6	4.29447	1.20814	115.173	161.235	155.83	28.7018	34.2466	305.882	20.9146	54.7084	15.9874	0	52.8761	17.6454	11.7654	37.9247	2.87156	15.1093	43.9136	0	120.746	76.7296	47.8032	45.2542	68.3292	96.7396	107.444	127.207	426.768	382.162	44.7699	186.212	54.1188	128.246	375.237	358.27	311.464	266.713	31.1127	0	5.0877	20.9257	42.1728	2.63983	1.24485	4.29799	89.0233	69.3929
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	19.059	12.7912	10.3652	15.0051	0	0	2.53432	44.5767	61.6311	30.3549	41.3363	13.3087	0	0	4.44619	1.88707	1.30659	0	31.1066	15.2929	0	0	2.60328	0	0	0	0	0	0	0	0	0	0	0	0	34.2908	27.1471	18.472	12.2662	49.3128	16.4803	0	0	1.83428	10.0283	1.79537	0	10.4675	26.7698	0	29.1677	37.7276	33.0007	26.2599	38.314	50.4918	26.3296	22.4587	0	0	12.8639	3.74208	26.3526	3.8067	0	0	0	0	44.9225	0	0	0	0	0	0	0	9.50072	17.6336
FERMENTATION-PWY: mixed acid fermentation	89.5663	115.48	120.742	73.2811	44.7809	37.936	82.2979	57.4559	58.8675	65.5744	91.2538	88.3802	44.0836	49.097	51.5076	35.735	389.818	0	193.051	140.286	143.039	166.392	175.893	56.7683	186.6	258.075	238.028	115.447	79.3209	384.581	74.6012	284.92	60.6141	228.283	141.401	170.981	87.5369	286.014	171.149	30.543	146.164	63.2829	37.8222	12.1749	153.328	113.89	75.6607	112.555	152.961	131.317	71.9177	27.0174	55.6785	44.8177	102.872	15.7757	25.2409	66.2752	229.001	228.432	98.668	93.2336	120.363	336.325	214.195	5.10563	39.7116	113.248	134.63	54.1176	152.032	171.608	178.175	164.083	149.929	103.016	84.7948	110.479
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	38.5359	33.3655	0	17.9554	173.167	270.391	51.8647	17.5894	25.8957	17.0498	13.2158	28.7187	46.6023	26.1725	18.6868	17.243	220.056	0	49.2297	44.1226	297.834	251.648	43.3827	7.84262	7.11962	336.792	340.624	51.5404	3.67098	171.711	58.8318	36.6031	0	71.2415	86.0403	0	0	115.553	26.2645	41.1675	53.2097	95.1099	46.6507	57.3105	100.302	19.6	29.6896	18.7934	0	0	22.7731	0	0	0	23.6501	4.14236	0	18.9891	331.04	470.003	29.6025	21.3687	84.4541	0	112.549	0	9.19493	0	0	0	15.2945	32.9558	0	0	4.99838	0	35.723	39.1098
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	15.5332	27.7124	19.4994	59.9878	0	0	31.0719	0	0	3.00608	2.97375	32.0825	52.2286	19.1912	0	8.43739	126.605	0	41.5677	28.7851	0	0	30.0031	30.9081	7.89238	6.1727	4.52762	0	3.35695	248.124	0	0	6.43244	76.1209	59.7362	5.67167	0	142.515	38.0517	0	0	0	22.1021	0	5.1097	24.7489	28.0451	5.31486	0	47.8948	19.8641	0	0	0	1.66083	0	0	13.7548	0	20.9458	34.5835	49.9412	21.6213	0	151.717	0	0	0	0	0	0	0	10.9798	2.89439	8.38684	0	22.1639	15.082
FUCCAT-PWY: fucose degradation	7.4437	14.0342	9.35209	32.2614	0	0	16.4867	0	0	1.35117	5.56474	16.4012	26.3063	9.061	0	4.02301	94.647	0	25.6132	14.294	0	0	16.923	15.472	28.6565	5.97711	31.9663	10.3375	1.53696	292.136	1.54241	0	3.33372	79.0267	37.816	4.42902	0	134.203	19.4408	0	14.0323	0	10.5689	0.730464	11.9997	12.1378	14.1373	10.0147	0	26.5145	9.62232	1.27742	0	0	2.85515	0	0	6.45867	27.576	20.9541	19.6481	26.4243	10.9079	0	147.561	0	0	0	0	0	0	1.31475	7.00223	1.30042	8.48562	13.3623	10.6388	7.19232
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	45.1716	27.1861	31.8396	75.77	11.7473	12.2393	47.0113	2.7645	0	3.30453	2.50081	43.124	0	9.28184	0	4.82029	5.31652	0	0	0	0	0	0	10.565	28.6979	0	3.39992	0	4.26145	99.0554	0	0	0	15.0948	10.6421	0	0	87.8996	5.36608	0	0	0	3.55034	0	0	0	0	3.04725	0	0	10.6498	0	0	0	0	0	0	0	0	0	6.85867	10.6345	25.34	0	53.0293	0	0	0	0	33.8449	24.4256	25.1021	10.2975	29.6423	39.3073	29.9471	38.5784	14.1515
GALACTARDEG-PWY: D-galactarate degradation I	5.04944	3.13545	1.7523	12.9627	0	0	0.504908	0	0	4.22544	0	0	30.0745	14.8738	0	7.34491	2.06713	0	0	0	0	0	4.40393	28.1256	1.28027	0	0	0	2.72968	367.955	0	0	6.66212	69.4608	50.625	0	0	240.095	22.1816	0	0	60.8729	24.9938	0	0	14.0776	0	0	0	0	2.24057	0	0	0	0	0	0	9.70025	0	0	0	8.62068	0	0	213.289	0	1.90985	0	0	0	0	0.894463	0	0	0	0	8.54281	4.03621
