Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	0	0	402.544	443.727	502.703	398.435	405.499	351.679	372.811	216.63	0	244.307	119.756	306.695	288.666	260.319	161.081	192.065	100.888	114.845	287.807	389.153	283.167	267.784	257.627	275.616	301.058	253.416	157.377	178.828	154.379	54.2227	128.221	0	127.099	181.188	559.659	450.513	494.598	431.861	462.632	444.267	429.722	180.118	186.146	0	314.328	0	0	0	115.209	0	0	324.996	321.634	303.121	332.851	296.953	295.906	314.43	237.503	243.085	138.003	119.333	96.5336	186.127	221.942	160.415	87.6482
ARO-PWY: chorismate biosynthesis I	0	0	114.58	542.199	607.85	517.899	574.172	585.284	522.359	543.194	322.801	57.9796	359.8	166.954	352.63	378.256	370.308	409.38	155.317	73.2339	179.299	374.503	450.678	334.492	368.652	334.352	341.069	324.696	319.872	280.514	247.714	218.22	190.58	352.653	96.9703	112.884	163.789	393.764	340.186	520.421	332.814	351.201	348.481	330.864	285.214	384.583	0	427.093	0	0	78.2091	113.719	0	133.254	346.092	308.258	393.961	335.407	300.263	319.583	341.68	262.247	297.786	287.734	290.7	240.863	292.761	287.847	262.284	136.615
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0	68.2285	135.115	245.53	200.985	206.004	214.791	259.078	244.099	249.974	303.483	90.3881	173.316	138.831	175.174	158.919	162.647	416.468	66.1563	120.194	89.298	294.721	247.412	257.008	281.392	264.683	101.452	82.9157	303.602	240.195	218.691	186.951	167.296	272.288	178.404	163.083	25.3414	72.5454	88.1185	246.576	88.6989	98.5457	98.4198	112.168	212.921	394.13	0	245.279	0	0	92.3693	149.799	0	60.0477	231.771	176.32	277.49	187.376	157.754	211.752	191.703	312.757	352.258	184.801	159.697	189.182	153.755	159.57	315.103	184.812
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	0	0.244857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63502	1.30439	1.24568	2.08292	2.01568	1.98839	2.99694	0	0.419973	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	20.4064	18.444	26.3997	24.3241	22.0102	22.609	18.4938	146.174	0	24.7437	39.7006	0	0	0	203.091	0	0	0	8.51505	19.6337	12.9119	11.2148	14.312	12.7304	11.446	126.166	146.069	0	61.3042	0	162.497	0	43.4732	0	7.96807	7.06505	40.4733	8.34985	9.44691	8.06606	6.0256	90.9339	52.3809	0	44.5596	0	0	0	0	0	0	35.6912	28.0042	37.0291	39.5433	32.252	32.233	45.2516	53.3474	61.3377	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	114.098	0	164.028	595.649	655.037	510.458	616.711	658.192	569.646	609.342	346.173	0	441.583	205.75	422.294	442.486	401.175	368.03	221.758	72.076	135.766	496.476	514.819	424.676	470.617	408.008	301.51	294.466	360.626	270.428	350.359	354.964	203.665	357.091	233.862	305.272	194.905	379.767	388.679	618.839	395.04	414.964	414.226	367.137	347.728	613.54	0	560.209	74.4485	0	192.951	0	0	80.5945	485.922	430.27	522.073	434.399	382.252	418.707	430.607	439.353	461.078	282.709	269.834	187.561	352.871	334.008	287.911	285.815
CALVIN-PWY: Calvin-Benson-Bassham cycle	0	0	0	492.161	506.64	470.75	492.206	511.55	463.53	488.415	478.143	308.966	312.182	207.728	302.421	355.275	319.727	506.078	135.48	105.333	77.2923	397.323	467.106	346.581	388.076	344.882	287.516	296.794	456.244	377.562	190.374	275.279	195.838	455.004	183.842	272.636	158.489	393.172	344.318	491.967	338.447	361.089	344.322	318.646	404.348	608.087	0	414.951	0	0	162.942	149.812	0	78.9982	364.852	347.76	374.108	357.411	319.052	337.258	356.611	452.369	474.291	338.393	372.581	298.016	270.076	259.348	320.898	411.925
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43126	1.51015	1.43871	2.2133	2.19986	1.95406	2.64266	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0	0	0	7.25314	6.59598	9.55477	6.8314	4.1641	6.21718	7.28185	26.125	0	0	0	0	0	0	1.69488	0	0	0	16.759	17.099	12.1822	12.1627	15.7334	9.96247	8.16964	11.9753	10.5167	0	7.75011	0	0	0	0	0	3.00892	2.07766	21.4624	4.02995	2.89872	3.06691	2.31205	19.9786	3.95504	0	10.5982	0	0	0	0	0	0	11.76	10.1619	11.9488	15.6445	14.3294	12.901	13.0544	10.234	13.2253	0	0	0	0	0	0	0
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70051	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0	0	0	8.70445	6.77827	4.13451	12.6498	9.17123	9.38772	7.44973	128.221	45.3077	0	48.3918	0	0	0	131.899	117.903	0	55.8227	25.3356	31.8798	29.2557	45.663	23.5119	34.226	16.3444	84.0261	112.702	101.406	37.204	31.1642	98.449	110.008	77.7095	187.741	2.178	3.16872	3.56111	3.9519	3.41048	6.60415	4.36729	84.0388	59.5079	0	0	0	0	37.8525	0	0	0	22.4956	29.7324	34.6138	21.1096	29.8161	22.9008	24.4386	34.2817	32.5429	122.347	167.922	228	0	0	133.73	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0	0	75.7998	523.625	611.745	569.175	575.875	566.766	529.439	550.452	351.673	45.372	349.826	168.477	350.026	405.527	377.876	337.318	132.217	76.5496	84.6382	354.541	416.523	325.344	348.389	312.011	304.961	266.112	252.273	266.469	239.914	144.495	162.886	348.82	0	63.6082	156.555	376.862	315.108	492.299	307.767	313.894	312.617	309.791	327.361	301.722	0	374.442	0	0	170.08	106.792	0	122.186	313.479	275.464	341.216	308.217	260.177	277.678	296.242	456.087	495.529	413.807	407.041	412.173	260.235	298.244	392.187	155.487
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0	0	116.235	520.166	604.122	568.107	570.02	564.3	525.582	545.317	389.079	86.728	343.673	174.733	348.825	406.615	388.531	450.594	146.175	67.512	71.5824	362.335	408.894	327.192	362.142	314.594	282.582	239.758	373.609	319.273	233.125	134.941	153.287	369.386	102.386	149.012	176.284	350.006	297.032	489.512	292.083	296.149	298.966	290.619	329.584	421.154	0	396.128	0	0	169.016	109.522	0	110.003	317.215	272.866	365.54	304.56	252.581	272.611	291.046	429.568	484.522	418.315	395.606	393.64	293.8	301.003	369.579	139.028
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0	0	0	29.4815	23.0553	20.8018	29.011	21.6376	22.8119	27.06	38.7819	0	0	0	0	0	19.0184	42.3124	95.1126	0	0	33.6616	45.2004	25.1213	28.087	33.38	25.2946	29.8499	14.1624	18.3544	0	6.08603	20.2861	47.641	0	0	130.883	7.4606	11.6514	61.6972	13.0229	12.6425	12.6146	11.0642	43.8794	15.6013	0	47.4953	0	0	0	0	0	0	16.7455	13.8835	31.6852	25.6803	19.7918	16.5854	20.8321	17.815	16.335	83.3283	112.883	154.426	0	0	118.327	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	0	0	0	64.6063	60.0949	67.4843	63.5014	64.8631	62.1276	72.7825	146.168	0	26.3178	37.526	0	33.5646	31.3995	180.371	0	0	0	52.2888	63.1114	46.4526	47.3534	51.8723	42.4345	42.9901	129.116	128.043	53.7771	70.9081	38.4853	184.982	0	0	0	49.8315	55.9648	85.8947	56.5613	52.2186	53.7565	33.6674	132.31	93.014	0	70.5489	0	0	0	0	0	0	59.7837	61.3573	76.3814	63.8576	52.8041	55.6605	62.0337	39.9738	43.1941	66.7589	0	74.5275	0	26.6761	16.7947	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0	0	123.588	577.499	643.87	547.404	609.719	617.845	548.131	572.447	331.188	0	359.705	175.05	375.999	402.355	395.558	418.788	151.073	0	148.128	403.77	479.431	362.749	394.981	357.117	321.541	311.233	333.013	288.958	247.464	236.972	188.104	367.956	102.093	122.407	169.056	425.308	370.703	541.481	362.913	379.738	371.956	353.552	298.905	411.131	0	451.443	0	0	86.9849	124.666	0	107.286	376.059	332.498	405.236	358.91	316.537	337.3	358.521	269.223	307.488	302.341	301.257	243.871	307.73	304.786	273.723	138.897
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58668	2.78165	0	0	0	0	0	0	0	0	0	0.561804	0.816411	0.45401	0.78663	0.943006	0	1.9315	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42584	0.592769	0	0.287808	0	0	0	0	0	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0	0	74.8867	411.659	495.3	288.369	442.922	468.37	382.74	405.939	225.702	0	281.698	174.572	274.608	328.994	297.746	227.648	155.827	0	69.2972	111.761	244.719	74.1195	141.634	73.1782	31.9938	52.8028	289.346	189.165	45.5668	165.304	114.561	184.022	0	141.834	162.382	96.4294	84.8346	203.261	93.8467	111.753	101.549	82.3339	159.425	388.265	0	233.841	0	0	0	0	0	0	135.04	149.191	131.091	147.517	171.691	167.571	167.169	362.702	376.9	249.211	250.373	126.896	249.595	247.577	283.432	184.583
DARABCATK12-PWY: D-arabinose degradation I	0	0	0	0	0	0	0	0	0.249119	0.0854026	0	0	0	0	0	0	0	0	0	0	0	0	0.433088	0.37751	0.715917	0	0.583758	0.266016	0	0	0	0	0	0	0	0	0	0	0	0.397475	0	0.389446	0	0	4.81406	0	0	0	0	0	0	0	0	0	0.113868	0.16456	0	0.30188	0.440764	0.859864	0.489291	0	0.738676	0	0	0	0	0	0	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	0	0	0	1.27122	0	0	0	0	0	0	15.4176	0	0	0	0	0	0	0	0	0	0	15.853	1.82684	0	0	0	3.8746	0	0	0	0	0	0	0	0	0	0	0	2.80283	0	0	0	0	0	0	0	0	1.0032	0.613867	0.607499	1.17506	0.501943	0.642651	0.686036	0	2.55829	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	0	3.40815	4.2185	7.13738	5.56875	5.62498	5.19393	3.42775	48.2631	0	0	0	0	0	0	39.3351	0	0	0	1.62473	2.38876	1.04195	1.47178	0	0	0	100.546	60.4988	0	62.0687	0	49.8266	75.8227	124.163	0	0	0	2.26356	0	0	1.21534	0	42.6439	194.168	0	14.8609	0	0	0	0	0	0	12.4713	12.7094	13.2907	16.2579	12.4231	13.2672	20.9345	63.1255	58.2869	0	0	0	0	0	33.1816	79.1084
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298412	0.459877	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	183.281	115.618	369.729	850.466	802.353	656.017	842.284	968.444	879.484	898.324	364.7	0	621.554	250.419	538.631	602.724	636.225	473.728	167.932	163.313	233.612	848.77	633.363	724.902	780.823	700.06	396.387	383.608	381.671	326.604	330.099	411.651	321.757	357.812	90.1522	114.393	35.4577	376.555	468.491	763.439	492.32	481.769	499.527	505.014	287.236	248.574	0	712.871	43.8321	0	108.739	203.216	0	246.878	800.64	658.736	957.781	699.806	588.768	695.82	687.154	469.216	512.203	463.971	558.357	544.526	511.291	583.773	484.665	125.944
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10573	1.50527	1.8336	2.46288	2.6544	1.92791	3.48142	0	0	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0	0	0	0	0	0	0	0	0.39847	0	0	0	0	0	0	0	0	167.591	0	0	0	0.494936	0.683946	0.423795	0	0	0	0	4.16385	0	0	0	0	0	59.7886	232.219	0	0	0.650787	0	0	0	0	0	2.29905	0	0	0	0	0	0	0	0	6.61604	4.86963	6.11962	8.42096	8.33576	6.85486	8.25267	3.66592	2.25772	0	0	0	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0	0	0	19.4338	17.643	27.5982	23.6042	21.9365	22.5414	17.8527	317.589	41.4647	32.8937	125.211	27.7228	0	0	387.141	194.457	0	0	8.02975	20.4519	12.9464	11.0585	15.1129	15.4551	12.9771	386.484	238.58	65.9454	160.842	27.8721	288.956	169.374	248.453	179.947	7.71922	6.88801	53.5182	8.32969	9.97379	8.07813	5.87985	200.967	460.318	0	70.6669	47.5811	0	90.1822	93.6051	0	0	46.0695	35.4021	47.3521	51.2979	38.5328	42.6324	61.5538	305.141	303.432	21.1983	76.1444	64.9693	0	33.8704	88.0123	295.737
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation	0	0	0	271.691	304.678	193.068	287.578	309.039	259.522	284.649	174.485	162.546	150.72	102.937	201.979	197.535	141.099	118.786	0	0	0	117.377	160.61	63.5137	134.905	72.2319	71.298	57.1869	162.485	122.754	54.93	139.464	60.8966	93.684	202.868	244.816	0	111.39	132.594	179.615	137.476	124.675	142.517	116.956	116.528	409.038	0	222.006	0	0	0	0	0	0	123.336	139.161	110.685	135.129	143.689	141.017	147.177	207.937	213.624	197.099	202.729	103.157	121.704	162.526	178.893	135.674
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	0	0	10.6647	7.48893	10.9461	11.7653	10.8037	9.4688	10.9093	208.309	0	0	0	0	0	0	154.735	0	0	0	5.38004	8.47415	8.65157	6.21921	9.7977	10.3109	7.29968	166.742	123.758	133.223	82.3843	0	214.28	0	47.2015	0	0	0	4.56574	0.810076	0	1.74902	0	175.828	256.862	0	0	0	0	0	0	0	0	17.4486	14.9732	26.3935	34.3022	25.3354	21.7345	20.2359	242.094	264.807	93.4403	129.268	187.281	0	0	193.936	84.3908
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0	0	0	0.73689	5.28759	6.00515	4.53848	3.69253	4.90249	2.59743	6.72393	0	0	0	0	0	0	5.40512	0	0	0	9.53579	7.58028	6.78805	4.40941	11.2088	10.107	5.66142	25.9644	17.3154	0	63.0359	0	17.8312	0	0	0	4.64055	4.38741	1.31885	5.28466	4.35303	5.1197	3.01085	29.394	53.7665	0	6.32352	0	0	0	0	0	0	6.96291	5.36883	5.4603	7.29622	5.86689	7.13228	9.0948	26.4797	32.2854	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation	0	0	0	2.98442	2.9845	3.28667	2.83848	2.6655	3.77214	3.55398	27.6327	0	0	11.747	0	9.61346	0	23.7746	0	0	0	9.78398	12.4666	8.02043	6.60862	12.1503	6.98288	4.89785	71.1768	46.4503	0	95.4835	11.3743	39.05	120.838	177.851	0	3.06107	2.64268	8.03773	2.7596	3.47664	3.97509	3.48582	52.0013	194.221	0	5.45612	0	0	0	0	0	0	3.33869	4.08564	3.3883	5.09788	5.24584	4.76639	5.83726	39.1324	38.9464	0	0	0	0	0	0	58.6681
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0	0	0	13.6813	9.27711	13.2515	10.8444	12.1587	12.308	12.7143	0	0	0	0	0	0	0	0	0	0	0	15.7888	11.3521	12.4629	13.6642	12.8013	3.29965	3.1766	0	0	0	0	0	0	0	0	0	2.57887	4.11708	20.923	4.95975	4.14951	4.57703	2.98947	8.36466	0	0	14.5659	0	0	0	0	0	0	20.0178	14.1401	24.5537	17.9919	12.2582	13.3956	15.4875	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I	0	0	0	2.10894	2.50615	1.19061	2.43589	1.48614	2.81161	3.60939	1.99195	0	0	0	0	0	0	9.31222	0	0	0	1.06104	1.64879	1.77515	0.706362	0.390689	2.25834	1.63633	15.4189	8.17208	0	9.65462	14.501	0	0	65.5539	124.634	0.33884	0.83226	0.272448	0	1.26958	0.456332	0.260383	7.66213	38.3029	0	4.90069	0	0	0	0	0	0	4.44573	2.31846	3.84455	5.51665	4.14296	4.3662	8.29229	13.1408	8.39096	0	8.12253	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation	0	0	0	0	0	0	0	0	0.257819	0	0	0	0	0	0	0	0	1.31862	0	0	0	0	0.0426072	0	0	0	0	0	0	3.07517	0	0	0	3.0576	0	0	0	0	0	1.13911	0	0	0	0	0	0.903368	0	0	0	0	0	0	0	0	0	0.257774	0	0.65824	0	0	0	0	0	0	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I	0	0	0	19.199	16.7309	27.5883	19.1086	16.4131	18.5277	18.2975	0	0	0	0	0	0	0	1.5927	0	0	0	19.048	19.128	18.7686	15.4188	22.2633	34.8167	24.9591	5.5523	10.5072	0	0	0	11.5389	0	0	0	10.5667	11.2032	41.7634	10.6929	8.18197	7.95882	10.5471	11.9996	0	0	27.4983	0	0	0	0	0	0	25.2382	19.0217	27.8741	24.0194	18.951	22.534	23.1932	9.14601	8.89808	9.49583	0	0	0	12.677	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	0	0	0	27.2292	22.9794	40.0771	26.2564	17.9249	21.4287	23.0345	172.977	33.2638	0	15.8999	0	0	0	143.29	0	0	0	27.5052	26.5142	24.141	19.2024	26.2144	21.1034	24.0297	173.532	124.811	119.076	118.58	20.228	205.146	164.532	173.143	0	4.44164	8.67916	49.7401	10.7008	10.0499	6.75777	7.82355	234.323	509.408	0	33.5508	0	0	0	28.746	0	0	27.4729	24.0812	34.365	36.2	26.0578	24.3934	29.4918	270.759	307.592	106.883	77.3445	89.331	0	0	101.919	131.187
GLUCARDEG-PWY: D-glucarate degradation I	0	0	0	1.84533	2.09287	1.11928	2.11138	1.26151	2.23452	2.84603	1.81414	0	0	0	0	0	0	8.93448	0	0	0	1.02403	1.57066	1.66101	0.688016	0.383771	1.38298	1.36048	11.6582	6.44339	0	10.9478	0	0	0	53.3517	148.955	0.295388	0.725137	0.270465	0	0.972699	0.420235	0.253543	7.6941	35.0768	0	3.99896	0	0	0	0	0	0	3.84238	2.16682	3.28556	5.007	4.05015	4.12324	7.38772	8.36517	7.58714	0	0	0	0	0	0	0
