Gene	SRR18584972	SRR18584974	SRR18584975	SRR18584976	SRR18584977	SRR18584978	SRR18584979	SRR18584980	SRR18584981	SRR18584982	SRR18584983	SRR18585056	SRR18585057	SRR18585058	SRR18585059	SRR18585061	SRR18585062	SRR18585063	SRR18585064	SRR18585065	SRR18585076	SRR18585077	SRR18585078	SRR18585079	SRR18585105	SRR18585106	SRR18585107	SRR18585109	SRR18585110	SRR18585111	SRR18585112	SRR18585113	SRR18585114	SRR18585115	SRR18585128	SRR18585129	SRR18585131	SRR18585132	SRR18585133	SRR18585134	SRR18585135	SRR18585136	SRR18585137	SRR18585138	SRR18585139	SRR18585140	SRR18585142	SRR18585143	SRR18585144	SRR18585177	SRR18585178	SRR18585179	SRR18585180	SRR18585181	SRR18585182	SRR18585183	SRR18585184	SRR18585212	SRR18585213	SRR18585214	SRR18585215	SRR18585216	SRR18585218	SRR18585219	SRR18585220	SRR18585221	SRR18585222	SRR18585223	SRR18585254	SRR18585256	SRR18585257	SRR18585258	SRR18585259	SRR18585260	SRR18585261	SRR18585272	SRR18585273	
UniRef90_A0A096A1F9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7278	0	0	0	0	0	1.0915	1.50016	0	2.16544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.1878	11.4488	3.36081	1.39859	13.3657	7.74284	15.2186	0	0
UniRef90_A0A096A8X5	0	0	0	0.46584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8344	0	0	0	0	0	3.73897	1.38538	0	6.64774	2.81992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.566	14.8403	9.93578	3.11067	17.8011	12.9342	28.0362	0	0
UniRef90_A0A096BB56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46248	2.05869	0.499971	0.381393	3.45026	1.46615	2.02449	0	0
UniRef90_A0A098YRF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07003	0	0	0	0	0	1.36703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3398	12.3807	6.21136	2.82939	19.0774	19.7675	15.7437	0	0
UniRef90_A0A099BYD4	0	0	0	0.481408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8852	0	0	0	0	0	1.32226	0	0	0.581232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0739	15.6343	5.91633	2.11023	16.2302	25.5925	25.7772	0	0
UniRef90_A0A0A2FIN6	0	0	0	0.286883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05587	2.13512	0.941601	0	3.3041	1.50573	3.28801	0	0
UniRef90_A0A0A2FLD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76185	0	0	0	0	0	0.412681	0	0	3.14391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41429	2.63051	0.489227	0.199905	3.16714	1.14033	3.70098	0	0
UniRef90_A0A0B5G326	0	0	0	0.157121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284509	0	0	0.734023	0	0	0.150614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28376	1.22277	0.441571	0.286698	0.965708	0.328626	0.466648	0	0
UniRef90_A0A0D0HCE0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.9186	0	0	0	0	0	1.63473	0	0	1.66774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.8423	15.7825	7.44896	2.92841	21.6108	34.2064	28.6145	0	0
UniRef90_A0A0D0I300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98748	0	0	0	0	0	2.81259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2097	8.57535	1.45211	0.695569	4.31043	9.45941	10.8884	0	0
UniRef90_A0A0D0ISJ7	0	0	0	0.610166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.249	0	0	5.95632	0	0	38.5316	5.71369	0	213.161	38.1694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.5399	25.2462	10.1818	42.1442	27.6273	22.7806	36.6511	0	0
UniRef90_A0A0E9E6I2	0	0	0	0.345667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2291	0	0	0.448503	0	0	1.65686	0.767576	0	3.89931	2.25572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.7741	30.6078	13.0421	3.08745	48.1516	37.9237	65.601	0	0
UniRef90_A0A0E9E7B6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.6379	0	0	0	0	0	0.590086	0.49485	0	4.04932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.6108	22.7489	12.2453	2.19254	46.299	41.2321	67.7053	0	0
UniRef90_A0A0E9E7C0	0	0	0	0.202178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4778	0	0	0	0	0	0.862967	0.602838	0	0.739065	2.30738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.26	19.6001	6.87418	1.12743	39.2472	30.5587	46.7561	0	0
UniRef90_A0A0E9EE84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18839	0	0	0.416426	0	0	1.72047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.1101	10.8844	3.63726	0.517557	10.3061	14.2817	21.6447	0	0
UniRef90_A0A0E9EEM3	0	0	0	0.890252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80958	0	0	1.36459	0	0	0.497767	0	0	0	1.89431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25618	3.47218	2.1063	1.37044	8.04738	9.39587	6.19993	0	0
UniRef90_A0A0E9EGM0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150.228	0	0	2.69598	0	0	40.9127	6.26563	0	35.9463	4.57731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502.146	288.589	111.99	26.2376	243.414	233.685	408.744	0	0
UniRef90_A0A0E9EGM5	0	0	0	0.395473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A0E9EHV4	0	0	0	0.755146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87686	0	0	4.88669	0	0	0.422977	0	0	0	0.390051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.55902	5.85999	3.93193	0.772777	9.19363	13.5685	8.37919	0	0
UniRef90_A0A0E9EMY9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.588	0	0	2.79863	0	0	19.9278	9.18007	0	41.4691	15.9695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506.794	183.443	77.8988	39.8569	321.993	266.089	339.529	0	0
UniRef90_A0A0E9ER13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.76362	0	0	1.37597	0	0	0	2.37154	0	0	2.88472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3703	8.51366	3.36664	0.943478	18.8244	17.5874	18.0157	0	0
UniRef90_A0A0E9ERC5	0	0	0	0.536141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8951	0	0	1.39122	0	0	0.333093	1.32688	0	5.95747	3.57994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.5449	20.2225	9.12717	3.68229	28.3831	29.1453	38.7694	0	0
UniRef90_A0A0E9ERN9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35969	0	0	0	0	0	1.07801	0	0	2.03669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.49893	8.9374	5.95965	2.12569	11.9244	14.4734	4.75015	0	0
UniRef90_A0A0E9EVF0	0	0	0	0.369876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.21616	0	0	0.359507	0	0	0.205659	0	0	2.499	5.01306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.3593	16.7722	6.77363	2.81081	24.2862	22.7847	31.0034	0	0
UniRef90_A0A0E9EXE8	0	0	0	0.232254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5955	0	0	0	0	0	1.17722	1.55816	0	2.71435	3.25774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.3343	19.9123	13.1261	3.73173	40.2168	28.5005	50.0841	0	0
UniRef90_A0A0E9EZF1	0	0	0	0.133822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2843	0	0	1.21544	0	0	1.15614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0349	14.3128	4.90969	1.69831	17.9992	17.4779	20.1965	0	0
UniRef90_A0A0E9F2D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68755	0	0	0.388942	0	0	0.433377	0	0	45.2878	0.41977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.27641	3.90039	3.41176	1.82199	8.28565	11.5227	4.53509	0	0
UniRef90_A0A0E9F364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.636	0	0	3.25897	0	0	5.02631	0.595947	0	396.763	11.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32192	8.23221	4.83869	14.9868	9.99602	14.633	10.9377	0	0
UniRef90_A0A0E9F5I1	0	0	0	0.673893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1716	0	0	0	0	0	3.11603	1.21711	0	11.3748	6.21045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.3388	21.0263	14.0872	4.81413	31.8955	30.4403	35.9262	0	0
UniRef90_A0A0E9F5V3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.021	0	0	0	0	0	80.9728	9.71734	0	19.9887	3.22652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428.207	246.543	95.3357	19.5988	175.505	216.565	325.648	0	0
UniRef90_A0A0E9F717	0	0	0	0.551935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1236	0	0	0.909773	0	0	0.609196	0	0	2.22734	5.74923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.3966	12.4913	4.53529	2.78372	22.077	23.6296	26.3473	0	0
UniRef90_A0A0E9F7P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61024	0	0	0	0	0	0.704419	0	0	1.84077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.7174	8.0804	2.95413	2.28137	15.7573	13.2012	21.7228	0	0
UniRef90_A0A0E9F8N7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50179	0	0	0	0	0	1.04231	0.748166	0	0	1.82149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.7127	2.67879	1.80018	0	8.46335	4.03883	9.95665	0	0
UniRef90_A0A0E9F961	0	0	0	0.615256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.7889	0	0	0.384402	0	0	4.21118	2.94541	0	8.41203	3.50846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.17	28.139	18.8483	6.49422	60.8773	43.2294	73.4537	0	0
UniRef90_A0A0E9FA33	0	0	0	0.961292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.278	0	0	0	0	0	1.60611	1.26069	0	6.25057	1.65681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.035	20.3313	8.93646	3.18063	34.5244	27.6369	40.741	0	0
UniRef90_A0A0E9FBR6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84084	0	0	0	0	0	0	0	0	15.5473	4.17712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.25222	2.83803	2.16172	2.93794	8.30642	9.78309	5.44943	0	0
UniRef90_A0A0E9FFX0	0	0	0	1.07102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3175	0	0	0	0	0	7.49354	2.74686	0	7.81557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.4234	31.5908	18.0986	7.75587	47.6162	39.4807	61.8922	0	0
UniRef90_A0A0E9FIF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25432	0	0	0	0	0	0	0	0	9.53781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63574	1.0495	2.15356	0.356117	4.10667	5.23006	3.64715	0	0
UniRef90_A0A0E9FL43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07037	0	0	0	0	0	0.633552	0	0	7.69921	6.49825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.5917	20.3616	13.1441	4.65739	33.5561	25.5241	50.2416	0	0
UniRef90_A0A0E9FLH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5178	0	0	0	0	0	0.66967	0.312184	0	4.89381	3.57618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.1249	15.0205	7.38671	2.89569	25.5427	22.876	40.1975	0	0
UniRef90_A0A0E9FPC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41913	38.6833	0	0	5.08641	0	1.15897	0	0
UniRef90_A0A0E9FQ97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2707	0	0	18.0218	0	0	4.93822	5.11464	0	25.502	22.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9033	12.8947	22.7764	15.0664	13.0572	14.548	19.6293	0	0
UniRef90_A0A0E9FS03	0	0	0	3.8515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.6648	0	0	21.4868	0	0	28.6697	6.35367	0	23.5705	34.9017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.09	91.5945	54.8651	42.1253	64.081	90.0882	87.3508	0	0
UniRef90_A0A0E9FS07	0	0	0	0.581137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7758	0	0	54.2581	0	0	119.989	14.0077	0	536.986	139.213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.8836	23.3326	25.9711	84.1998	24.056	25.0079	30.9059	0	0
UniRef90_A0A0E9FSU9	0	0	0	3.62137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.4301	0	0	112.046	0	0	134.932	11.1409	0	453.604	58.5969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.108	55.1525	42.218	93.3624	46.2298	41.9679	55.5463	0	0
UniRef90_A0A0I9RSR5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40862	0	0	0	0	0	0.633481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91226	1.71398	1.13938	0.82703	1.45774	1.03341	1.25011	0	0
UniRef90_A0A0M0MXW6	0	0	0	0.935939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68734	0	0	0	0	0	1.1296	0	0	5.94767	1.57532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.1919	14.3886	7.86535	2.64845	22.3042	14.8667	30.108	0	0
UniRef90_A0A0M0N2A4	0	0	0	3.63055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.7295	0	0	29.7406	0	0	31.8913	4.64715	0	81.0796	16.2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.3673	46.8709	31.7511	28.0255	47.1332	39.6727	52.191	0	0
UniRef90_A0A0S2KJT9	0	0	0	1.6857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.968	0	0	0	0	0	0	0.837945	0	9.78727	0.944109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.432	31.2452	10.9949	5.08292	42.1467	40.84	61.4757	0	0
UniRef90_A0A0T7A6D5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6065	0	0	8.7704	0	0	3.58375	5.00266	0	15.3048	19.2512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.8918	17.1372	16.0391	10.8839	16.5481	12.0178	19.8348	0	0
UniRef90_A0A0T7A6J7	0	0	0	0.241613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.1815	0	0	100.519	0	0	136.794	19.2544	0	629.224	173.823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.3692	48.3309	40.1441	93.9119	45.2245	49.7286	61.4581	0	0
UniRef90_A0A0U1N3T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92649	0	0	0	0	0	2.31595	0	0	2.82757	1.34958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.4777	21.5937	10.4547	3.32672	23.0813	20.8348	35.7106	0	0
UniRef90_A0A127SMY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.51098	0	0	0	0	0	0.159511	0	0	10.6258	7.2656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.8513	9.81314	13.0672	2.74886	16.3804	15.3556	33.4848	0	0
