Phylum	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57E-05	0	1.20E-05	1.79E-05	9.02E-06	8.87E-06	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-05	0	0	1.20E-05	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0	1.19E-05	1.99E-05	0	8.93E-06	1.24E-05	1.89E-05	2.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77E-05	0	2.26E-05	0	1.43E-05	0	0	0	0	0	0	0	0	0	0	0	9.09E-06	9.05E-05	0	5.02E-05	0.000129055	3.06E-05	4.02E-05	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	2.17E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003539	0	0	0	0	0	0	0	3.52E-06	0	0	0	0.000905688	0	0	0	0.001907338	0	0	0	0	0	0	0	0	0	0	0.008058793	3.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002288605
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21E-06	2.60E-06	0	2.52E-06	6.26E-06	4.34E-06	9.36E-06	0	0.000340675	0	0	0	0.001812053	0	0	0	0	0	0	0	0	0	0	0.000201616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	3.24E-06	0	0	2.83E-06	0	0	3.77E-06	0	0	0	0	0	0	0	0.000352904	0	0	0	5.60E-06	3.30E-06	0	0	4.32E-06	4.27E-06	5.58E-06	0	0.001687509	0	0	0	0.000943073	0	0	0	0	0	0	0	0	0	0	0.000167222	0.000220155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57E-05	3.60E-05	0	0	0	0	0	0	0.005143276
Actinobacteriota	0	0	0	1.54E-06	1.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000102838	0	0	0	0	1.37E-06	0	0	0	1.50E-06	1.92E-06	0	0.000690142	0	0	0	0.000329747	0	0	0	0	0	0	0	0	0	0	7.59E-05	4.74E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-05	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430975	0	0	0	0	0	0	0	0	0	0	8.79E-05	0.000118129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	2.22E-06	0	4.82E-06	0	0	0	0	0	0.015158437	0	0	0	0	0	0.000393224	0	0.006253689	0	0	0	0	0	0	3.20E-06	4.55E-06	0	0.000414866	0	0	0	0.001372861	0	0	0	0	0	0	0	0	0	0	0.000420751	0.000394366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	6.35E-06	2.89E-06	0	0	0	0.000528969	0	0	0	0	0	0	0.000634977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000464668	0	0	0	0	0	0	0	0	0	0	0.000211582	0.001241369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121489	6.83E-05	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000318387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063697	0	0	0	0	0	0	0	0	0	0	0.000562092	5.75E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020989	0	0	0	0	0	0	0	0	0	0	0	6.44E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	1.81E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213348	0	0	0	0	0	0	0	0	0	0	0	0.000800043	0	0	0	0.00162435	0	0	0	0	0	0	0	0	0	0	0.008977507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002291712
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107229	0	0	0	0	0	0	0	0	0	0	4.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000182186	0	0	0	0.000351498	0	0	0	0	0	0	0	0	0	0	0	0.000161323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97E-05	3.09E-05	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000415774	0	0	0	0	0	0	0	0	0	0	0	4.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95E-05	5.63E-05	0	0	0	0	0	0	0.002472811
Actinobacteriota	0	0	0	0	0	3.01E-06	0	0	0	0	0.000153422	0	0	0	0	0	0	0.00015966	0	0.004127014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000328938	0	0	0	0	0	0	0	0	0	0	0	9.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	8.58E-05	0	0	0	0	0	0	0.000226106	0	0	0	3.28E-06	3.16E-06	2.64E-06	2.81E-06	3.70E-06	2.86E-06	3.64E-06	0.00012611	0.001053855	0.000602295	0.000178949	0	0.002215068	0	0	0	0	0	0	0	0	0	0	0.000531362	0.000105908	0	0	0	0	0	0.004701949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107699	8.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51E-05	0	0	0	0	0	0	0	0	0	0	0	0.000323827	0	0	0	0.000588248	0	0	0	0	0	0	0	0	0	0	0.000215808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	4.91E-06	2.90E-06	6.46E-06	2.68E-06	1.41E-06	1.88E-06	2.81E-06	0.000375299	0	0	0	0	0	0	0.00070748	0	0.000736719	0	3.31E-06	5.08E-06	1.44E-06	1.51E-06	2.68E-06	4.21E-06	1.39E-05	6.10E-05	0.00068918	0.000353868	0	0	0.006718172	0	0	0	0	0	0	0	0	0	0	0.010261727	0.000204392	0	0	0	0	0	0.007876815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	1.79E-06	0	3.13E-06	0	0	0	0	0.000221855	0	0	0	0	0	0	8.33E-05	0	0	0	3.35E-06	0	0	0	0	3.05E-06	3.88E-06	0	6.36E-05	0	0	0	0.00036701	0	0	0	0	0	0	0	0	0	0	0.000117942	0.000306988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-05	0	0	0	0	0	0	0.00157478
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0.000139139	0	0	0	0	0	0	7.47E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229314	0.001802348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121539	0.000162693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0.000145753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	7.88E-06	3.47E-06	1.57E-05	6.49E-06	4.01E-06	4.19E-06	3.64E-06	0.001255789	0	0	0	0	0	0	0.001093475	0	0	0	4.08E-06	0	0	0	0	0	3.72E-06	0	0.000233058	0	0	0	0.00040541	0	0	0	0	0	0	0	0	0	0	0.000178531	0.000113368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0.000288821	0	0	0	0	0	0	0.000119104	0	0	0	0	0	0	0	0	0	0	0.0001878	0.00026933	0	0	0	0.000715838	0	0	0	0	0	0	0	0	0	0	0.000900062	6.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000153166	0	0	0	0	0	0	0	0	0	0	0.000142898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0.000128546	0	0	0	0	0	0	9.13E-05	0	0	0	0	0	0	0	0	0	0	0	0.000213106	0	0	0	0.000428075	0	0	0	0	0	0	0	0	0	0	0.000714367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.43E-05	0	0	0	0	0	0	0	0	0	0	0	0.000362873	0	0	0	0.000431235	0	0	0	0	0	0	0	0	0	0	0	7.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70E-05	2.33E-05	0	0	0	0	0	0	0
Actinobacteriota	0	0	0.00069465	4.30E-06	3.91E-06	5.26E-06	6.16E-06	3.60E-06	3.77E-06	5.31E-06	0	0	0	0	0	0	0	0.001197908	0	0	0	0	0	0	0	0	5.37E-06	3.91E-06	0	0.001222808	0	0.00033555	0	0.000602248	0	0	0	0	0	4.05E-06	0	0	0	0	0.000101052	0.000364034	0	0	0	0	0	0	0	0	0	4.12E-06	0	0	6.71E-06	0	0	3.42E-05	2.18E-05	0	0	0	0	0	0	0.007255312
Actinobacteriota	0	0	0	0.000416043	0.000241388	0.000314198	0.000227721	0.000293485	0.000216945	0.000187166	0.002816367	0.010961363	0	0	0	0.000429393	0.00024546	0.000417792	0	0	0	4.01E-06	4.52E-06	4.60E-06	2.94E-06	4.64E-06	5.19E-06	0	0.007096286	0.003171668	0.003190734	0.001526035	0.00104989	0.00064882	0	0	0	6.24E-06	5.18E-06	9.79E-05	1.07E-05	6.51E-06	1.43E-05	0	0.001162915	0.005156903	0	0.00011897	0	0	0	0	0	0	5.72E-05	5.89E-05	0.000168791	8.31E-05	1.36E-05	2.11E-05	2.49E-05	0.022656865	0.016802018	0.002708135	0.002345059	0.000920037	0.000801435	0.00076554	0.003304551	0.004158044
Actinobacteriota	0	0	0	0.001858962	0.000694653	0.001009799	0.000708932	0.000870089	0.000562596	0.001670447	0	0	0.001056077	0	0.000949638	0.001275304	0.000791369	0	0	0	0.000557058	0.000168292	0.001914117	7.29E-05	0.00014975	0.000100927	4.93E-05	4.04E-05	0.000144731	9.33E-05	0.001031149	0.000642196	0.000831051	0.000433488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07E-06	6.54E-06	0	0	0	0	0.000484418	0.000535192	0	0.000947727	0.000906417	0.000387105	0
Actinobacteriota	0	0	0	4.27E-06	0	0	0	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.81E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163753	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51E-06	0	7.25E-05	0.00049263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	3.63E-05	4.07E-05	3.78E-05	2.92E-05	2.31E-05	3.73E-05	4.16E-05	0	0	0	0	0	0	0	0	0	0	0	0.000494512	0.000264797	0.000508003	0.000522767	0.000468975	8.96E-05	2.65E-05	0	0	0	0	0	0	0	0	0	4.54E-05	0.000137456	4.18E-05	0.000196948	0.000105098	6.71E-05	1.11E-05	0	0	0	0	0	0	0	0	0	0	0.000128161	0.000271947	0.000174719	0.000165518	0.000341706	0.000134189	0.000172728	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0.00061787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251818	0.003277209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000160226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
